,address,bedrooms,house_type,name,price,region,release,status,street,tags,turn,house-price
90,文艺北路（陕西省歌舞剧院旁）,"['1室户型 ', '2室户型 ']",住宅,乐府国际公寓,住宅10000,城南,2012/9/28,尾盘,文艺路,"['轨交房', '投资地产', '二环以内', '低总价', '单身公寓']",2013/6/30,10000
110,"太白南路,近丈八东路","['商住户型 ', '1室户型 ', '2室户型 ', '3室户型 ']","住宅,商住",高山流水和城,"住宅10000,商住10000",高新,2010/12/5,尾盘,太白南路,"['轨交房', '二至三环', '综合体', '投资地产', '酒店式公寓']",2014/3/31,10000
139,西滨大道1号,"['2室户型 ', '3室户型 ', '4室户型 ']",住宅,陆港金海岸,住宅10000,浐灞,2013/3/1,现房在售,港务区,"['南北通透', '刚需房', '三环以外', '双卫', '大阳台']",2015/6/30,10000
182,丈八北路80号,"['1室户型 ', '2室户型 ', '3室户型 ']",住宅,易道郡玫瑰公馆,住宅10000,高新,2016/3/12,现房在售,鱼化寨,"['南北通透', '刚需房', '大型社区', '双卫', '大阳台']",2017/12/30,10000
33,东二环胡家庙地铁站北500米,"['1室户型 ', '2室户型 ', '3室户型 ']",住宅,天伦佐治公馆,住宅9900,城东,2018/3/4,期房在售,胡家庙,"['轨交房', '二至三环', '品牌开发商', '南北通透', '刚需房']",2018/12/31,9900
41,"子午大道,近神禾二路","['2室户型 ', '3室户型 ', '4室户型 ']",住宅,雅居乐湖居笔记,住宅9800,长安,2017/9/23,期房在售,大学城,"['南北通透', '三环以外', '大阳台', '飘窗', '大客厅']",2019/10/31,9800
94,自强西路68号,"['1室户型 ', '2室户型 ', '3室户型 ']",住宅,皇城九号,住宅9800,城北,2017/3/25,尾盘,自强西路,"['轨交房', '投资地产', '南北通透', '刚需房', '二环以内']",2017/12/31,9800
171,"浐河东路,近雁鸣湖","['2室户型 ', '3室户型 ', '4室户型 ']",住宅,高科麓湾国际社区,住宅9700,浐灞,2018/2/3,期房在售,浐河,"['轨交房', '品牌开发商', '南北通透', '双卫', '大阳台']",2020/5/30,9700
32,灞柳一路与纺园五路十字东南角,"['2室户型 ', '3室户型 ', '4室户型 ', '5室户型 ']",住宅,富力白鹭湾,住宅9600,浐灞,2017/11/25,期房在售,灞河,"['轨交房', '品牌开发商', '投资地产', '刚需房', '高端会所']",2019/5/30,9600
35,航天大道与神舟六路十字东南角,"['2室户型 ', '3室户型 ', '4室户型 ']",住宅,陕建翠园锦绣,住宅9600,长安,2017/12/23,期房在售,航天基地,"['学校', '带幼儿园', '湖景', '改善房', '南北通透']",2020/6/30,9600
49,朱宏路9号,"['2室户型 ', '3室户型 ']",住宅,新泽星大厦,住宅9600,城北,2015/9/18,尾盘,朱宏路,"['投资地产', '车位充足', '南北通透', '公交枢纽', '二环以内']",2016/6/30,9600
119,"明光路,近尚新路","['2室户型 ', '3室户型 ']",住宅,明丰阿基米德,住宅9600,城北,2017/12/29,期房在售,北客站,"['轨交房', '人车分流', '南北通透', '改善房', '三环以外']",2020/8/31,9600
38,"柳新路,近柳烟路","['2室户型 ', '3室户型 ', '4室户型 ']",住宅,荣民宫园学府,住宅9500,浐灞,2017/10/28,期房在售,灞河,"['轨交房', '刚需房', '三环以外', '飘窗', '大客厅']",2019/12/30,9500
56,南长安街666号,"['1室户型 ', '2室户型 ', '3室户型 ', '4室户型 ']",住宅,智慧新城,住宅9500,长安,2018/1/20,期房在售,韦曲,"['轨交房', '公积金贷款', '人车分流', '南北通透', '刚需房']",2019/12/31,9500
67,朱雀路78号（青松路与朱雀大街十字西南角）,"['1室户型 ', '2室户型 ', '3室户型 ']",住宅,融尚中央住区,住宅9500,城南,2015/8/12,尾盘,明德门,"['轨交房', '二至三环', '投资地产', '南北通透', '刚需房']",2017/8/31,9500
43,"纺织城西街,近纺四路","['3室户型 ', '4室户型 ']",住宅,合能铂悦府,住宅9400,浐灞,2017/12/15,期房在售,纺织城,"['轨交房', '二至三环', '品牌开发商', '南北通透', '改善房']",2020/5/30,9400
149,"秦皇路,近世纪大道","['2室户型 ', '3室户型 ', '4室户型 ']",住宅,林凯城,住宅9400,西咸新区,2018/1/6,期房在售,沣西新城,"['南北通透', '刚需房', '改善房', '三环以外', '双卫']",2019/4/30,9400
6,"尚新路,近尚贤路","['3室户型 ', '4室户型 ']",住宅,隆源国际城YUE公园,住宅9300,城北,2017/11/24,期房在售,北客站,"['轨交房', '综合体', '投资地产', '人车分流', '南北通透']",2020/8/31,9300
155,"朱宏路,近方新路","['1室户型 ', '2室户型 ', '3室户型 ']",住宅,泽星雅龙湾,住宅9300,城北,2015/9/18,尾盘,朱宏路,"['车位充足', '南北通透', '刚需房', '公交枢纽', '二环以内']",2017/12/31,9300
162,北辰大道与凤城一路交汇处（珠江大道东面）,"['2室户型 ', '3室户型 ']",住宅,红星美凯城,住宅9300,城北,2017/7/21,期房在售,北二环,"['轨交房', '二至三环', '投资地产', '刚需房', '大型社区']",2019/6/30,9300
165,"建工路,近公园南路","['1室户型 ', '2室户型 ', '3室户型 ']",住宅,雅苑东方,住宅9300,城东,2015/12/31,尾盘,建工路,"['轨交房', '二至三环', '刚需房', '大阳台', '大平层']",2016/10/10,9300
45,"阿房一路,近西三环","['2室户型 ', '3室户型 ']",住宅,巨威大秦郡,住宅9200,城西,2018/3/1,期房在售,大兴新区,"['二至三环', '南北通透', '大型社区', '养老房', '双卫']",2019/5/30,9200
97,涝河畔南山下渼陂湖度假区东侧,[],住宅,荣华清荷园,住宅9150,西安周边,2015/9/8,期房在售,户县,"['品牌开发商', '三环以外', '养老房', '河景', '复合地产']",2018/12/31,9150
