基金代码,基金名称,一年排名,一年百分比排名,两年排名,两年百分比排名,三年排名,三年百分比排名,五年排名,五年百分比排名
070011,嘉实策略增长混合,490,83.62,425,78.41,347,73.67,225,59.84
270007,广发大盘成长混合,306,52.22,201,37.08,199,42.25,226,60.11
580007,东吴新创业混合,463,79.01,331,61.07,336,71.34,227,60.37
160607,鹏华价值优势混合(LOF),145,24.74,375,69.19,152,32.27,228,60.64
519690,交银稳健配置混合A,426,72.70,277,51.11,240,50.96,229,60.90
000031,华夏复兴混合,397,67.75,329,60.70,361,76.65,230,61.17
580005,东吴进取策略混合,228,38.91,370,68.27,359,76.22,231,61.44
379010,上投摩根中小盘混合,434,74.06,418,77.12,312,66.24,232,61.70
070019,嘉实价值优势混合,284,48.46,367,67.71,344,73.04,233,61.97
530011,建信内生动力混合,264,45.05,423,78.04,236,50.11,234,62.23
519018,汇添富均衡增长混合,432,73.72,295,54.43,302,64.12,235,62.50
050004,博时精选混合A,132,22.53,222,40.96,133,28.24,236,62.77
100020,富国天益价值混合,176,30.03,314,57.93,248,52.65,237,63.03
163801,中银中国混合(LOF),414,70.65,393,72.51,399,84.71,238,63.30
070006,嘉实服务增值行业混合,376,64.16,373,68.82,324,68.79,239,63.56
310388,申万菱信消费增长混合,422,72.01,424,78.23,329,69.85,240,63.83
519035,富国天博创新混合,437,74.57,361,66.61,184,39.07,241,64.10
162202,泰达宏利周期混合,165,28.16,283,52.21,280,59.45,242,64.36
450003,国富潜力组合混合A 人民币,291,49.66,351,64.76,284,60.30,243,64.63
310368,申万菱信竞争优势混合,325,55.46,368,67.90,382,81.10,244,64.89
570007,诺德优选30混合,249,42.49,285,52.58,293,62.21,245,65.16
202002,南方稳健成长贰号混合,232,39.59,214,39.48,224,47.56,246,65.43
570001,诺德价值优势混合,218,37.20,210,38.75,177,37.58,247,65.69
210008,金鹰策略配置混合,466,79.52,402,74.17,297,63.06,248,65.96
202001,南方稳健成长混合,243,41.47,218,40.22,229,48.62,249,66.22
206002,鹏华精选成长混合,565,96.42,472,87.08,381,80.89,250,66.49
200007,长城安心回报混合,367,62.63,273,50.37,338,71.76,251,66.76
530001,建信恒久价值混合,476,81.23,312,57.56,315,66.88,252,67.02
121005,国投瑞银创新动力混合,252,43.00,232,42.80,301,63.91,253,67.29
110012,易方达科汇灵活配置混合,330,56.31,356,65.68,386,81.95,254,67.55
165313,建信优势动力混合(LOF),238,40.61,430,79.34,247,52.44,255,67.82
519694,交银蓝筹混合,217,37.03,224,41.33,309,65.61,256,68.09
320003,诺安先锋混合,260,44.37,310,57.20,250,53.08,257,68.35
110023,易方达医疗保健行业混合,480,81.91,484,89.30,447,94.90,258,68.62
050012,博时策略混合,195,33.28,272,50.18,213,45.22,259,68.88
610005,信达澳银红利回报混合,142,24.23,441,81.37,275,58.39,260,69.15
510081,长盛动态精选混合,395,67.41,342,63.10,325,69.00,261,69.41
519019,大成景阳领先混合,99,16.89,110,20.30,202,42.89,262,69.68
519033,海富通国策导向混合,507,86.52,534,98.52,433,91.93,263,69.95
481001,工银核心价值混合A,294,50.17,452,83.39,350,74.31,264,70.21
121008,国投瑞银成长优选混合,355,60.58,386,71.22,288,61.15,265,70.48
398031,中海蓝筹混合,581,99.15,539,99.45,442,93.84,266,70.74
217013,招商中小盘精选混合,521,88.91,435,80.26,405,85.99,267,71.01
398041,中海量化策略混合,59,10.07,236,43.54,160,33.97,268,71.28
519997,长信银利精选混合,196,33.45,155,28.60,225,47.77,269,71.54
450007,国富成长动力混合,512,87.37,504,92.99,277,58.81,270,71.81
310358,申万菱信新经济混合,240,40.96,437,80.63,403,85.56,271,72.07
610002,信达澳银精华配置混合,204,34.81,503,92.80,231,49.04,272,72.34
217012,招商行业领先混合A,479,81.74,337,62.18,281,59.66,273,72.61
290004,泰信优质生活混合,551,94.03,448,82.66,364,77.28,274,72.87
700001,平安大华行业先锋混合,548,93.52,496,91.51,439,93.21,275,73.14
200012,长城中小盘成长混合,17,2.90,458,84.50,365,77.49,276,73.40
519995,长信金利趋势混合,231,39.42,268,49.45,78,16.56,277,73.67
519089,新华优选成长混合,411,70.14,325,59.96,402,85.35,278,73.94
040005,华安宏利混合,561,95.73,409,75.46,341,72.40,279,74.20
320005,诺安价值增长混合,166,28.33,317,58.49,167,35.46,280,74.47
050010,博时特许价值混合A,292,49.83,349,64.39,106,22.51,281,74.73
270006,广发策略优选混合,268,45.73,401,73.99,349,74.10,282,75.00
200008,长城品牌优选混合,221,37.71,348,64.21,165,35.03,283,75.27
519678,银河消费驱动混合,568,96.93,419,77.31,401,85.14,284,75.53
210005,金鹰主题优势混合,543,92.66,226,41.70,323,68.58,285,75.80
450010,国富策略回报混合,423,72.18,394,72.69,276,58.60,286,76.06
163302,大摩资源优选混合(LOF),124,21.16,249,45.94,348,73.89,287,76.33
460001,华泰柏瑞盛世中国混合,327,55.80,434,80.07,393,83.44,288,76.60
610004,信达澳银中小盘混合,93,15.87,417,76.94,356,75.58,289,76.86
161606,融通行业景气混合,392,66.89,292,53.87,409,86.84,290,77.13
481008,工银大盘蓝筹混合,182,31.06,420,77.49,217,46.07,291,77.39
162607,景顺长城资源垄断混合(LOF),42,7.17,408,75.28,363,77.07,292,77.66
519029,华夏稳增混合,377,64.33,471,86.90,428,90.87,293,77.93
160610,鹏华动力增长混合(LOF),274,46.76,359,66.24,360,76.43,294,78.19
000021,华夏优势增长混合,410,69.97,395,72.88,380,80.68,295,78.46
398001,中海优质成长混合,348,59.39,439,81.00,367,77.92,296,78.72
110009,易方达价值精选混合,419,71.50,247,45.57,265,56.26,297,78.99
110005,易方达积极成长混合,160,27.30,265,48.89,379,80.47,298,79.26
162203,泰达宏利稳定混合,413,70.48,505,93.17,394,83.65,299,79.52
410009,华富量子生命力混合,5,0.85,225,41.51,295,62.63,300,79.79
162212,泰达宏利红利先锋混合,538,91.81,506,93.36,435,92.36,301,80.05
